# file...... solar_meter.csv
# date...... Tue Apr 24 18:58:00 2018
# user...... reim112
# host...... (null)
# target.... solar 5806
# trigger... (none)
# interval.. 15
# limit..... 5760
# timestamp,Insolation,VA_Out
2013-07-29 00:00:00 PST,+0,+0+0j
2013-07-29 00:00:15 PST,+0,+0+0j
2013-07-29 00:00:30 PST,+0,+0+0j
2013-07-29 00:00:45 PST,+0,+0+0j
2013-07-29 00:01:00 PST,+0,+0+0j
2013-07-29 00:01:15 PST,+0,+0+0j
2013-07-29 00:01:30 PST,+0,+0+0j
2013-07-29 00:01:45 PST,+0,+0+0j
2013-07-29 00:02:00 PST,+0,+0+0j
2013-07-29 00:02:15 PST,+0,+0+0j
2013-07-29 00:02:30 PST,+0,+0+0j
2013-07-29 00:02:45 PST,+0,+0+0j
2013-07-29 00:03:00 PST,+0,+0+0j
2013-07-29 00:03:15 PST,+0,+0+0j
2013-07-29 00:03:30 PST,+0,+0+0j
2013-07-29 00:03:45 PST,+0,+0+0j
2013-07-29 00:04:00 PST,+0,+0+0j
2013-07-29 00:04:15 PST,+0,+0+0j
2013-07-29 00:04:30 PST,+0,+0+0j
2013-07-29 00:04:45 PST,+0,+0+0j
2013-07-29 00:05:00 PST,+0,+0+0j
2013-07-29 00:05:15 PST,+0,+0+0j
2013-07-29 00:05:30 PST,+0,+0+0j
2013-07-29 00:05:45 PST,+0,+0+0j
2013-07-29 00:06:00 PST,+0,+0+0j
2013-07-29 00:06:15 PST,+0,+0+0j
2013-07-29 00:06:30 PST,+0,+0+0j
2013-07-29 00:06:45 PST,+0,+0+0j
2013-07-29 00:07:00 PST,+0,+0+0j
2013-07-29 00:07:15 PST,+0,+0+0j
2013-07-29 00:07:30 PST,+0,+0+0j
2013-07-29 00:07:45 PST,+0,+0+0j
2013-07-29 00:08:00 PST,+0,+0+0j
2013-07-29 00:08:15 PST,+0,+0+0j
2013-07-29 00:08:30 PST,+0,+0+0j
2013-07-29 00:08:45 PST,+0,+0+0j
2013-07-29 00:09:00 PST,+0,+0+0j
2013-07-29 00:09:15 PST,+0,+0+0j
2013-07-29 00:09:30 PST,+0,+0+0j
2013-07-29 00:09:45 PST,+0,+0+0j
2013-07-29 00:10:00 PST,+0,+0+0j
2013-07-29 00:10:15 PST,+0,+0+0j
2013-07-29 00:10:30 PST,+0,+0+0j
2013-07-29 00:10:45 PST,+0,+0+0j
2013-07-29 00:11:00 PST,+0,+0+0j
2013-07-29 00:11:15 PST,+0,+0+0j
2013-07-29 00:11:30 PST,+0,+0+0j
2013-07-29 00:11:45 PST,+0,+0+0j
2013-07-29 00:12:00 PST,+0,+0+0j
2013-07-29 00:12:15 PST,+0,+0+0j
2013-07-29 00:12:30 PST,+0,+0+0j
2013-07-29 00:12:45 PST,+0,+0+0j
2013-07-29 00:13:00 PST,+0,+0+0j
2013-07-29 00:13:15 PST,+0,+0+0j
2013-07-29 00:13:30 PST,+0,+0+0j
2013-07-29 00:13:45 PST,+0,+0+0j
2013-07-29 00:14:00 PST,+0,+0+0j
2013-07-29 00:14:15 PST,+0,+0+0j
2013-07-29 00:14:30 PST,+0,+0+0j
2013-07-29 00:14:45 PST,+0,+0+0j
2013-07-29 00:15:00 PST,+0,+0+0j
2013-07-29 00:15:15 PST,+0,+0+0j
2013-07-29 00:15:30 PST,+0,+0+0j
2013-07-29 00:15:45 PST,+0,+0+0j
2013-07-29 00:16:00 PST,+0,+0+0j
2013-07-29 00:16:15 PST,+0,+0+0j
2013-07-29 00:16:30 PST,+0,+0+0j
2013-07-29 00:16:45 PST,+0,+0+0j
2013-07-29 00:17:00 PST,+0,+0+0j
2013-07-29 00:17:15 PST,+0,+0+0j
2013-07-29 00:17:30 PST,+0,+0+0j
2013-07-29 00:17:45 PST,+0,+0+0j
2013-07-29 00:18:00 PST,+0,+0+0j
2013-07-29 00:18:15 PST,+0,+0+0j
2013-07-29 00:18:30 PST,+0,+0+0j
2013-07-29 00:18:45 PST,+0,+0+0j
2013-07-29 00:19:00 PST,+0,+0+0j
2013-07-29 00:19:15 PST,+0,+0+0j
2013-07-29 00:19:30 PST,+0,+0+0j
2013-07-29 00:19:45 PST,+0,+0+0j
2013-07-29 00:20:00 PST,+0,+0+0j
2013-07-29 00:20:15 PST,+0,+0+0j
2013-07-29 00:20:30 PST,+0,+0+0j
2013-07-29 00:20:45 PST,+0,+0+0j
2013-07-29 00:21:00 PST,+0,+0+0j
2013-07-29 00:21:15 PST,+0,+0+0j
2013-07-29 00:21:30 PST,+0,+0+0j
2013-07-29 00:21:45 PST,+0,+0+0j
2013-07-29 00:22:00 PST,+0,+0+0j
2013-07-29 00:22:15 PST,+0,+0+0j
2013-07-29 00:22:30 PST,+0,+0+0j
2013-07-29 00:22:45 PST,+0,+0+0j
2013-07-29 00:23:00 PST,+0,+0+0j
2013-07-29 00:23:15 PST,+0,+0+0j
2013-07-29 00:23:30 PST,+0,+0+0j
2013-07-29 00:23:45 PST,+0,+0+0j
2013-07-29 00:24:00 PST,+0,+0+0j
2013-07-29 00:24:15 PST,+0,+0+0j
2013-07-29 00:24:30 PST,+0,+0+0j
2013-07-29 00:24:45 PST,+0,+0+0j
2013-07-29 00:25:00 PST,+0,+0+0j
2013-07-29 00:25:15 PST,+0,+0+0j
2013-07-29 00:25:30 PST,+0,+0+0j
2013-07-29 00:25:45 PST,+0,+0+0j
2013-07-29 00:26:00 PST,+0,+0+0j
2013-07-29 00:26:15 PST,+0,+0+0j
2013-07-29 00:26:30 PST,+0,+0+0j
2013-07-29 00:26:45 PST,+0,+0+0j
2013-07-29 00:27:00 PST,+0,+0+0j
2013-07-29 00:27:15 PST,+0,+0+0j
2013-07-29 00:27:30 PST,+0,+0+0j
2013-07-29 00:27:45 PST,+0,+0+0j
2013-07-29 00:28:00 PST,+0,+0+0j
2013-07-29 00:28:15 PST,+0,+0+0j
2013-07-29 00:28:30 PST,+0,+0+0j
2013-07-29 00:28:45 PST,+0,+0+0j
2013-07-29 00:29:00 PST,+0,+0+0j
